question1,question2,label
ما طريقة تحضير الشكشوكة على الطّريقة المصريّة  ؟,من طرق تحضير الشكشوكة على الطّريقة المصريّة ؟,1
ما المقصود بالتركيب الهيكلي في قواعد البيانات؟,ما الأهمية من وجود قواعد البيانات؟,0
كم يبلغ عدد سكان بغداد؟,أين تقع بغداد؟,0
ما طريقة تحضير الكب كيك بالفانيلا ؟,من طرق تحضير الكب كيك بالفانيلا ؟,1
ما اللغة الرسمية المُستخدمة في أفريقيا؟,ما هي لغة قارة أفريقيا الرسمية؟,1
لماذا يفضل الناس التابلت أكثر من الأجهزة الأخرى؟,لماذا يفضل الكثيرين استخدام التابلت؟,1
ما طريقة عمل البيتي فور؟,من طرق تحضير البيتي فور؟,1
ما طريقة تحضير البان كيك ؟,كيف احضر البان كيك؟,1
ما هو تعريف المعلومات ؟,ما هو اشتقاق كلمة معلومات؟,0
ما طريقة تحضير كب كيك ملون ؟,كيف احضر كب كيك ملون؟,1
ما اهداف الصيدلة ؟,من اغراض الصيدلة ؟,1
ما هي سياحة المغامرات؟,ما هي السياحة البيئية؟,0
ما هو الميناء الوحيد الذي يوجد في الأردن؟,كم عدد مستشفيات الأردن؟,0
كيف احضر الغريبة بالفستق الحلبي؟,من طرق تحضير   الغريبة؟,0
من ماذا يتكون المغناطيس ؟,ما هو المغناطيس ؟,0
ما طريقة تحضير كيكة الشوكولاتة الصيامي ؟,كيف احضر كيكة الشوكولاتة الصيامي؟,1
ما هدف جمع البيانات الاقتصادية؟,ما هي أهمية جمع البيانات الاقتصادية؟,1
ماهي معادلة حساب اجمالي الرّبح؟,كيفيّة حساب اجمالي الرّبح؟,1
من اين يستخرج الصمغ العربي ؟,كيف يستخرج الصمغ العربي ؟,0
ماذا نقصد  بالبطاقة مسبقة الدفع ؟,ما هي  البطاقة مسبقة الدفع؟,1
ما اسم العالم الذي قام باختراع أول صورة ملونة؟,متى ظهرت الصور الملونة؟,0
ما حكم الإفطار في رمضان بسبب الإرهاق الشديد؟,هل يفطر من يخاف على نفسه الهلاك في رمضان؟,1
من طرق تحضير كفتة الأرنب ؟,من طرق تحضير أرنب مسلوق؟,0
كيف احضر فيليه الدجاج مع الأعشاب؟,من طرق تحضير فيليه الدجاج مع الأعشاب؟,1
من هو قائل قصيدة درة بحرية مكنونة؟,من صاحب قصيدة درة بحرية مكنونة؟,1
ما هو علاج البهاق؟,كيف اتخلص من البهاق؟,1
ما طريقة تحضير مربعات الكراميل؟,كيف احضر مربعات الكراميل؟,1
كيف احضر كيك الشوكولاتة و النسكافية؟,من طرق تحضير كيك الشوكولاتة    ؟,0
ما هي فائدة تمرين الضغط لحرق الدهون؟,بماذا يفيد تمرين الضغط في حرق دهون الجسم؟,1
ما هي مهمة مدير قواعد البيانات؟,ما هي مهام مدير قواعد البيانات؟,1
من طرق تحضير خضار سوتيه للرجيم؟,من طرق تحضير خضار سوتيه  ؟,0
ما الفائدة من استخدام أجهزة التحكم عن بعد؟,ما أهمية استخدام اجهزة التحكم عن بعد؟,1
كم تبلغ مساحة نيو برونزويك؟,كم تصل المساحة الجغرافية لكندا؟,0
ما هي أكبر مدينة في ماليزيا؟,ما هي ديانة ماليزيا؟,0
ما هو لنظام الحاكم في مقدونيا؟,ما نوع نظام مقدونيا الحاكم؟,1
ما هو اول فيلم قامت والت ديزني بإنشائه؟,ما هو أول فيلم اطلته والت ديزني؟,1
ما ارتفاع جبل طوبقان؟,ما هو ارتفاع جبل طوبقان؟,1
ما هو السّدر؟,أين توجد شجرة السدر؟,0
متى أخترع الهاتف الأرضي؟,في أي عام أخترع الهاتف الأرضي؟,1
متى احتلت القوات اليابانية سنغافورة؟,متى أُحتلت سنغافورة من القوات اليابانية؟,1
ما هو علاج النكاف؟,ما هو علاج ابو كعب؟,1
ما أضرارا القهوة على المصابين بخلل جيني؟,ما تأثير الخلل الجيني على الفرد؟,0
من طرق تحضير صلصة الشوكلاتة بالنسكافية ؟,من طرق تحضير  الشوكولاته ؟,0
كم يبلغ عدد سكان ولاية ألبرتا؟,كم يصل عدد السكان في ولاية ألبرتا؟,1
ما اسباب انخفاض ضغط الدم؟,ما هي اسباب ضغط الدم المنخفض؟,1
ما هي المراسلات الادارية ؟,ما هي خصائص المراسلات الادراية ؟,0
ما تعريف الاستقالة ؟,ما المقصود بالاستقالة ؟,1
ماذا نقصد بالقوائم المالية ؟,ما انواع القوائم المالية ؟,0
متى تطورت آلات التصوير؟,كيف تطورت آلات التصوير؟,0
ما اسم عاصمة قبرص؟,ما هي عاصمة كرواتيا؟,0
في أي عام تم تشييد تاج محل؟,ما اسم من قام بتشييد تاج محل؟,0
ما هي مضاعفات تكيس المبايض؟,ما هي مضاعفات تكيس المبيض؟,1
ما هي المحاسبة الإدارية؟,ما المقصود بالمحاسبة الإدارية؟,1
ما اسم أول جهاز حاسوب؟,ما هو أول جهاز حاسوب؟,1
كم عدد سكان القدس؟,كم يبلغ عدد سكان القدس؟,1
ما هو الألمنيوم النقي؟,ما هو تعريف الألمنيوم النقي؟,1
ما هي اشكال الألمنيوم؟,ما هي نظائر الألمنيوم؟,0
ما تعريف الحرية الموجبة ؟,ما هي الحرية ؟,0
ما المقصود بالمدح؟,ما هي أشهر قصيدة مدح؟,0
كم تبلغ الكثافة السكانية في المجر؟,ما هي كثافة اليونان السكانية؟,0
من قام بتشييد تاج محل؟,أين يوجد تاج محل؟,0
من قام بتشييد البتراء؟,من هم مشيدوا مدينة البتراء؟,1
من أخلاقيات إدارة الأعمال؟,ما هي ادارة الاعمال ؟,0
ما تعريف العصر الجاهلي؟,ما هو تعريف الجهل؟,0
ما طريقة تحضير صينية الحلبة بالمطيبات؟,كيف احضر  صينية الحلبة بالمنكهات؟,1
من طرق تحضير كب كيك ملون؟,من طرق تحضير كب كيك  ؟,0
في أي عام ظهر التابلت؟,ما هي أنواع التابلت؟,0
ما طريقة تحضير الفُقع بالزيت ؟,من طرق تحضير الفُقع بالزيت؟,1
في أي عام تم بناء شنغهاي وورلد فينيشال سنتر؟,كم يبلغ ارتفاع مبنى شنغهاي وورلد فينيشال سنتر؟,0
ما طريقة تحضير لحم مشوي بولجوجي؟,من طرق تحضير لحم؟,0
كيف اسجل اسم تجاري ؟,ما هي الاسماء التجارية؟,0
لماذا تعد أمريكا من أكبر القوى الإقتصادية عالمياً؟,ما السبب الذي يعود في اعتبارأمريكا من أكبر القوى الإقتصادية عالمياً؟,1
كيف احضر التمر بالمكسرات؟,من طرق تحضير التمر بالمكسرات؟,1
لماذا حظي نظام سيمبيان باهتمام كبير من قبل مستخدميه؟,ما هي الشركة التي تعتمد نظام سيمبيان؟,0
ما هي صفات العرب في العصر الجاهلي؟,ما هي صفات العرب؟,0
كيف أستخدم البيض للتخلص من حب الشباب؟,ما هي طريقة التخلص من الحب من بالبيض؟,1
من التحديات التي تواجة المدير العام ؟,من هو المدير العام ؟,0
في أي عام تم إعلان فرنسا عن احتلالها لجزر القمر بشكل كامل؟,متى تم إنشاء مجلس وزراء حكومي لجزر القمر؟,0
ما اسم أكبر جزيرة في جزر القمر؟,من هي الجزيرة الأكبر من جزر القمر؟,1
ما هي القوائم المالية؟,ماذا نقصد بالقوائم المالية ؟,1
ما هي الاعشاب التي تساعد في علاج البهاق؟,ما هو علاج البهاق؟,0
ما اسم أول عاصمة عثمانية؟,هل بورصة هي أول عاصمة عثمانية؟,0
ما تعريف الاستقالة ؟,ما هي خطوات الاستقالة؟,0
اين تظهر الدمامل؟,ما هي اماكن ظهور الدمل؟,1
مم تتكون زبدة الشيا؟,ما هي زبدة الشيا؟,0
كيف كانت حياة أبو نواس؟,بم تتصف حياة أبو نواس؟,1
كم تصل مساحة عمان الإجمالية؟,كم عدد سكان سلطنة عمان؟,0
ما هي ديانة سكان البوسنة والهرسك؟,من هم أوائل السكان في البوسنة والهرسك؟,0
لماذا حصل شنغهاي وورلد فينيشال سنتر للكثير من الجوائز؟,ما سبب حصول شنغهاي وورلد فينيشال سنتر للعديد من الجوائز؟,1
ما هي المدينة الأردنية الذي صنفت من أشهر المدن الأثرية العالمية؟,ما هي المدينة الموجودة في المملكة الأردنية التي صنفت ضمن أشهر المدن الأثرية العالمية؟,1
ما القيمة الغذائية للأرز؟,ما أهم المعادن والفيتامينات الموجودة في الأرز؟,1
كيف احضر حلوى الشعيريّة بالمكسرات على الطريقة الهنديّة؟,من طرق تحضير  حلوى الشعيريّة ؟,0
من فوائد المغناطيس ؟,ما استخدامات المغناطيس ؟,1
في أي أجهزة خلوية يوجد نظام الويندوز؟,ما هي الأجهزة الخلوية التي تعمل بنظام الويندوز؟,1
ما الإسم الرسمي لأمريكا؟,بماذا تسمى أمريكا رسمياّ؟,1
ما هو علاج النكاف؟,ما هو علاج او دغيم؟,1
أين تقع بلغاريا في قارة أوروبا؟,ما موقع البوسنة والهرسك في قارة أوروبا؟,0
ماذا أطلق بيرنارد ويبر اسماً لمشروعه الجديد لعجائب الدنيا السبع؟,كيف كان عمل مشروع عجائب الدنيا السبع الجديد؟,0
كيف استثمر مبلغ صغير ؟,ما هو الاستثمار ؟,0
أين قضى ابو نواس حياته؟,من هو أبو نواس؟,0
ما هو الجهاد؟,ما المقصود بالجهاد؟,1
ما الفرق بين قواعد البيانات ونظام الملفات؟,أيهما أفضل قواعد البيانات أم نظام الملفات؟,1
كم عدد الأقاليم الموجودة في كندا؟,كم عدد أقاليم أمريكا؟,0
ما هي طريقة تحضير الخشاف بالحليب ؟,كيف اصنع الخشاف بالحليب ؟,1
كيف تكون الوضعية المناسبة لممارسة تمارين الضغط؟,ما هي الوضعية الأنسب لممارسة تمارين الضغط؟,1
ما هي طريقة قناع  الحليب لتنظيف الوجه؟,كيف أنظف وجهي بالحليب؟,1
كيف احضر التمر بحشوة اللوز؟,من طرق تحضير كيكة التمر؟,0
ما هي أهمية شبكات الكمبيوتر؟,ما هي شبكات الكمبيوتر؟,0
ما طريقة تحضير كب كيك جاتو القطيفة ؟,من طرق تحضير كب كيك ؟,0
من هو موظف الدعم الفني؟,ما هو الدعم الفني؟,0
ما هو الشريان الابهر؟,ما هو الشريان الابهري؟,1
ما طريقة تحضير  كيكة الجزر بالحليب ؟,من طرق تحضير  الجزر؟,0
ما اسباب البحث على عمل ؟,ما هو العمل ؟,0
ما هي مميزات اللغة التي تكتب بها الرسالة الرسمية؟,ما هي الرسالة الرسمية؟,0
ما هو الدين الرسمي في الجزائر؟,هل ساهم الفينيقيون في تأسيس الجزائر؟,0
ما هي أسباب تراكم الدهون على الوجه؟,ما هي العوامل التي تحفّّز ظهور الدهون على الوجه؟,1
ما هي اهمية الكليتين؟,لماذا الكليتين مهمتين؟,1
ما أهمية البرتقال لتفتيح البشرة؟,ما فوائد عصير البرتقال؟,0
ماذا يحتوي المتحف القومي بكوالالمبور؟,متى تم تأسيس متحف الفنون الإسلامية؟,0
ماذا نقصد بالهجرة الداخلية ؟,ما هي الهجرة ؟,0
كيف احضر بودنج الجزر الهندي؟,من طرق تحضير الجزر الهندي؟,0
ماذا تسمى الأردن رسمياً؟,ما هو اسم الأردن الرسمي؟,1
ما هو مناخ المملكة الأردنية الهاشمية في فصل الشتاء؟,ما مناخ الأردن العام شتاءً؟,1
من طرق تحضير أرنب مسبّك؟,من طرق تحضير أرنب مسلوق؟,0
ما النسبة العامة للبطالة في بلجيكيا؟,ما نسبة البطالة العامة في بلجيكيا؟,1
من طرق تحضير  عجينة االسكّر؟,من طرق تحضير  عجينة  ؟,0
ما مدى صحة استخدام البابايا في علاج النمش؟,كيف تستخدم البابايا في علاج النمش؟,1
ما هو مطلع معلقة عبيد بن الأبرص؟,من هو عبيد بن الأبرص؟,0
ما هو التسوق عبر الإنترنت؟,",ما فائدة التسوق عبر الانترنت؟,",0
ما هي أعراض الحمل المتقدمة؟,ما هي أعراض الحمل بعد ثبوته؟,1
ما أصل اسم جزيرة سقطرى؟,ما سبب تسمية جزيرة سقطرى بهذا الاسم؟,1
ما اسباب الاصابة بمرض البرص؟,ما اسباب البرص؟,1
ما هو الابهر؟,ما هو الشريان الابهري؟,1
ما هو جوجل بلاي؟,كيف أستخدم جوجل بلاي؟,0
ما عدد السائحون السنوي لجزيرة فيجي؟,كم العدد السنوي للسياح لجزيرة فيجي؟,1
كم تبلغ مساحة ولاية ألبرتا؟,كم تصل المساحة الجغرافية لولاية ألبرتا؟,1
ما المقصود بالسندات ؟,ما فوائد السندات؟,0
ما حال الطقس صيفاً في مدغشقر؟,كيف هي الحالة العامة للطقس في مدغشقر صيفاً؟,1
لماذا يجب وضع بدائل عند القيام بجدوى دراسة المشروع؟,ما اهمية وضع مجموعة بدائل لدراسة المشروع؟,1
من هي الاصول ؟,ماذا نعني بأصول الشركة ؟,0
من هو المهندس الذي قام ببناء تمثال المسيح الفادي؟,من قام بتصميم تمثال المسيح الفادي؟,0
كيف تضر البروتينات الجسم؟,كيف أتجنب أضرار البروتينات الصناعية؟,0
ما هي مضاعفات السعال؟,ما هي مضاعفات العطاس؟,0
ما هي اللغة الرسمية في منغوليا الحديثة؟,ما اسم اللغة الرسمية في غوانغدونغ؟,0
ما هي تكنولوجيا التعليم؟,ماذا نقصد بتكنولوجيا التعليم؟,1
ما هي المدة اللازمة لاي ماسك للوجه؟,كم من الوقت يبقى الماسك على الوجه؟,1
في أي عام ولد نزار قبّاني؟,من هو نزار قباني؟,0
ما هي طريقة تحضير صلصة الدّجاج؟,من طرق تحضير الدجاج؟,0
ما هي أبيات  قصيدة الموت ربع فناء؟,من قائل قصيدة الموت ربع فناء؟,0
ما طريقة تفتيح البشرة الدهنية بالماسكات الطبيعية؟,هل للماسكات الطبيعية دور في تفتيح البشرة الدهنية؟,1
من طرق صنع حلى الزبادي بالنسكافيه والكريم كراميل؟,كيفية تحضير حلى الزبادي بالنسكافيه والكريما؟,0
من أول من فصل بين طب الأطفال وغيرهم؟,من فصل بين طب الأطفال والتخصصات الأخرى؟,1
من طرق تحضيرمحشي البطاطا؟,من طرق تحضير  البطاطا؟,0
كيف احضر كيك الشوكولاتة في الميكرويف؟,من طرق تحضير كيك الشوكولاتة في الميكرويف؟,1
كيف يتم تصنيع الورق ميكانيكياً؟,كيف يتم تصنيع الورق كيميائياً؟,0
متى أُحتلت عمان من البرتغاليين؟,متى تم احتلال سلطنة عمان من القوات البرتغالية؟,1
من أشكال الألمنيوم الكيميائية؟,ما هو الألمنيوم؟,0
من طرق تحضير  حلاوة الطحينية باللوز؟,من طرق تحضير حلاوة الطحينية ؟,0
من قائل قصيدة الحب أرقني؟,ما هي مناسبة قصيدة الحب أرقني؟,0
كيف احضر صلصة الشوكولاتة بالقشطة؟,من طرق تحضير صلصة الشوكولاتة بالقشطة ؟,1
كم يبلغ عدد الجزر التابعة لجزيرة فيجي؟,ما مساحة جزيرة فيجي؟,0
كيف احضر البخور؟,ما هو البخور ؟,0
ما هي أكبر دولة من حيث المساحة في العالم؟,ما هي أكبر مساحة دولة في العالم؟,1
من مسببات البطالة ؟,ما هي البطالة ؟,0
ما طريقة تحضير الزهرة المَقليَّة على الطريقة المصريّة؟,كيف احضر الزهرة المَقليَّة على الطريقة المصريّة؟,1
ما هي اهمية القيم ؟,من خصائص القيم ؟,0
من طرق تحضير كيك القرفة  لمرضى السكر؟,من طرق تحضير كيك القرفة؟,0
كم نسبة الأوكرانييون الموجودين في روسيا؟,ما النسبة المئوية للأوكرانييون الموجودون في روسيا؟,1
ما هي العمليّات الإداريّة التشغيليّة؟,ما هي الادارة ؟,0
متى طبعت النقود ؟,ما هو تاريخ ظهور النقود ؟,0
من مسؤوليات العبد اتجاه سيده ؟,ما المقصود بالعبد؟,0
ماذا أفعل لأتجنب الغش عند شراء البروتينات الصناعية؟,ماذا أفعل لأتجنب حصى الكلى؟,0
كم تحفة يوجد في متحف بريطانيا؟,ما هدف متحف بريطانيا؟,0
ماذا نقصد بالرقابة والسّيطرة؟,من سلبيات التخطيط ؟,0
من الطُّرق التي تُساعد في المحافظة على الرّاتب الشهريّ؟,ماذا نقصد الراتب الشهري؟,0
ما هو المناخ العام في سلطنة عُمان؟,ما هي عملة عمان الرسمية؟,0
ما هو موجز التحليل المالي ؟,ماذا نقصد بالتحليل المالي ؟,0
ما هي اتجاهات ادارة الاعمال ؟,من مجالات ادارة الاعمال ؟,1
ما هو عالم والت ديزني؟,أين تقع شركة والت ديزني؟,0
كيف احضر الكومبير؟,من طرق تحضير الكومبير؟,1
متى شيدت قلعة كرملين؟,إلى أي دردجة تصل درجات الحرارة في فصل الشتاء لروسيا؟,0
كيف يكون اتجاه رأسي أثناء ممارسة تمارين الضغط؟,ما هي الوضعية التي يحتاجها الجسم لممارسة تمرين الضغط؟,1
ما هو المناخ السائد في بلجيكيا؟,ما مناخ بلجيكيا السائد؟,1
ما طريقة تحضير مندي اللحم بقدر الضغط ؟,كيف احضر مندي اللحم بقدر الضغط؟,1
كيف احضر كيكة النسكافيه بالكروكان؟,من طرق تحضير كيكة النسكافيه  ؟,0
كم يصل ارتفاع برج تابي؟,أين يقع برج تابي؟,0
ما طريقة تحضير بيتزا السلمون ؟,كيف احضر بيتزا السلمون؟,1
من طرق تحضير كيكة بسكويت الأوريو؟,من طرق تحضير  بسكويت الأوريو؟,0
مالذي يهيج الاكزيما؟,مالذي يهيج الجلد؟,0
ما طريقة تحضير كيكة البطاطا الحلوة ؟,من طرق تحضير البطاطا الحلوة؟,0
ما هو تعريف القصة؟,ما هي القصة القصيرة؟,0
كيف احضر حلاوة الجزر؟,من طرق تحضير حلاوة الجزر؟,1
ما هو الحب؟,كيف أتعلم الحب؟,0
ما تعريف الصيام شرعاً؟,ما تعريف الصوم شرعاً؟,1
ما هي اللغة الرسمية في مدغشقر؟,ما لغة مدغشقر الرسمية؟,1
ما حصة الفرد من الناتج المحلي للولايات الأمريكية؟,كم تصل نسبة الناتج المحلي للفرد في الولايات المتحدة؟,1
كيف احضر كيكة الشوكولاتة الصيامي؟,من طرق تحضير كيكة الشوكولاتة الصيامي؟,1
ما الذي يميز هواتف النوكيا؟,ما هي أهم ميزة بهواتف النوكيا؟,1
هل أضاف الإنترنت فائدة للتعليم؟,ما أهمية الإنترنت في التعليم؟,1
ما طريقة تحضير كيكة اللوتس ؟,كيف احضر كيكة اللوتس؟,1
هل تفيد بعض الوصفات الطبيعية في علاج النمش؟,كيف أتخلص من النمش؟,0
من طرق تحضير  غراتان البطاطا بالدجاج؟,من طرق تحضير الدجاج؟,0
كيف يحدد الاقتصاد الانتاج ؟,ماذا نقصد بالاقتصاد ؟,0
ما هي أصل هواتف النوكيا؟,إلى أي دولة ترجع نشأة هواتف النوكيا؟,1
لماذا يصدر الضفدع صوتاً؟,",ما الاختلاف بين قلب الضفدع والإنسان؟",0
ما المقصود بالعمل ؟,ما هو تعريف العمل ؟,1
كيف احضر الدجاج بجبنة الموزريلا؟,من طرق تحضير الدجاج؟,0
من طرق تحضير الدجاج بجبنة الموزريلا؟,",من طرق تحضير الدجاج؟",0
في أي مدينة يوجد المتحف الوطني العماني؟,كم عدد سكان مدينة مسقط؟,0
من خصائص التنمية الاقتصادية ؟,ما هي التّنمية الاقتصاديّة؟,0
ما نسبة الهنديون الموجودين في أستراليا؟,ما عدد الهنديون الموجودين في أستراليا؟,1
ماذا نقصد بموضوع الرسالة ؟,ما هي الرسالة ؟,0
كيف احضر إيزي كيك بالحليب المكثّف؟,من طرق تحضير إيزي كيك بالحليب المكثّف؟,1
ما هي التحذيرات التي يجب الانتباه إليها قبل القيام بتحديث نظام الأندرويد؟,ما هي مميزات نظام الأندرويد؟,0
ما معنى كلمة استخارة؟,ما معنى لفظة استخارة؟,1
ما طريقة تحضير القشطة بالخل؟,من طرق تحضير  القشطة بالخل؟,1
ما طريقة تحضير بسكويت عيد الأضحى؟,من طرق تحضير  معمول عيد الأضحى؟,0
متى تم تشييد الجامع الجديد في الجزائر؟,ماذا يحيط الجامع الجديد في الجزائر؟,0
إلى أي سيادة تتبع جزيرة نيوزلندا؟,ما هي السيادة التي تتبعها جزيرة نيوزلندا؟,1
ماذا نقصد بالهوامش ؟,ما سلبيات وضع الهوامش ؟,0
أين يوجد أسرع مصعد في العالم؟,في أي برج يوجد أسرع مصعد بالعالم؟,1
ما طريقة تحضير محشي البطاطس ؟,كيف احضر محشي البطاطا؟,1
ما هي انواع المراسلات الادارية ؟,ما هي المراسلات الادارية ؟,0
ما طريقة تحضير كيكة طبقات القرفة  ؟,كيف احضر كيكة طبقات القرفة ؟,1
متى سيطر المقدونييون على اليونان؟,في أي عام سيطر المقدونييون اليونان؟,1
ما المقصود بزقاق المدق ؟,أين تدور احداث رواية زقاق المدق؟,0
ما اسم عاصمة روسيا البيضاء؟,ما هي عاصمة النمسا؟,0
ما طريقة تحضير الشكشوكة  على الطّريقة التونسيّة  ؟,من طرق تحضير  الشكشوكة  على الطّريقة التونسيّة ؟,1
ما طريقة تحضير فيليه الدجاج مع الأعشاب ؟,من طرق تحضير فيليه الدجاج مع الأعشاب؟,1
ما هي طريقة تحضير الخشاف بالحليب ؟,ما طريقة عمل الخشاف ؟,0
كم تبلغ مساحة السويد؟,كم تصل المساحة الإجمالية للسويد؟,1
ما هي المستويات الادارية؟,ما هي اقسام المستويات الادراية ؟,1
ماذا نقصد بالتضخم المفرط؟,ما هو التضخم ؟,0
من مميزات المغناطيس الصناعي ؟,ما هو المغناطيس ؟,0
كم دولة يوجد في قارة أريقيا؟,أين توجد قارو أفريقيا؟,0
ما طريقة تحضير حشوة التمر ؟,من طرق تحضير حشوة التمر ؟,1
ما طريقة تحضير المجدرة بالبرغل ؟,من طرق تحضير المجدرة بالبرغل؟,1
كم يصل طول نهر أم الربيع؟,ما طول نهر أم الربيع؟,1
على ماذا يقوم تمرين الضغط بالوقوف على اليدين؟,على ماذا يقوم تمرين الضغط بذراعين متباعدتين؟,0
كيف احضر الشكشوكة بالجبن ؟,من طرق تحضير  الشكشوكة   ؟,0
ما هي اهداف شركة جوجل ؟,أين تقع شركة جوجل ؟,0
ما طريقة تحضير الشكشوكة بالجبن  ؟,من طرق تحضير الشكشوكة بالجبن ؟,1
ما هي العاصمة الرسمية لمدغشقر؟,ما عاصمة مدغشقر؟,1
ما الأشكال الإعلانية على تويتر؟,ما هو تويتر؟,0
ماذا نقصد بمتن الرسالة ؟,ما هي الرسالة ؟,0
ما المقصود بالصداقة؟,ما هي عوامل نجاح الصداقة؟,0
أريد طريقة بسيطة لعمل حمام بخار لوجهي؟,كيف اعمل حمام بخار لوجهي بخوات بسيطة؟,1
ما تعريف الكزيما؟,ما هو الشرى؟,0
هل يمكن أن أستفيد من بقاء العطر لفترة طويلة؟,كيف أجعل العطر يبقى لفترة أطول على جسدي؟,1
ما عدد سكان دمشق؟,كم يبلغ عدد سكان مدينة دمشق؟,1
ما هي اقسام القروض حسب المدة الزمنية ؟,من انواع القروض ؟,0
في أي مدينة يوجد متحف بنك إندونيسيا؟,في أي عام أسس متحف بنك إندونيسيا؟,0
في أي عام تم تشييد هرم خوفو؟,كم تبلغ مساحة مصر؟,0
ما طريقة وصفة زبدة الشيا للتخلص من آثار الحبوب؟,كيف تستعمل زبدة الشيا للتخلص من آثار الحبوب؟,1
ما تعريف القيم الدينية؟,من خصائص القيم ؟,0
ما هي الفوائد الصحية لشجرة السدر؟,ما فوائد السدر لصحة البشرة؟,0
من استراتيجيات ادارة الاعمال ؟,من الاستراجيات المتبعة في ادارة الاعمال ؟,1
ما هي استراجيات ادارة الاعمال ؟,ما هي ادارة الاعمال ؟,0
ما هي الاصول الثابتة ؟,ما معنى الاصول الثابتة ؟,1
من مميزات الألمنيوم؟,ما هو الألمنيوم؟,0
ما هو الاسم الرسمي لمصر؟,ما اسم مصر الرسمي؟,1
ما هي فوائد الحليب للبشرة؟,هل يفيد الحليب البشرة؟,1
ما هو حدود سلطنة عمان؟,ما هو المناخ العام في سلطنة عمان؟,0
ما هي الكتابة؟,ما المقصود بالكتابة؟,1
كيف تؤثر التربية على قوة الشخصية وضعفها؟,ما هو علم التربية؟,0
كيف احضر الباستا فلورا بمربى المشمش؟,من طرق تحضير الباستا فلورا بمربى المشمش؟,1
ما هي نسبة معتنقي الإسلام في الصين؟,ما هي نسبة معتنقي الديانة المسيحية في الصين؟,0
ما هي أضرار البروتين الصناعي؟,ماذا تسبب البروتينات الصناعية للجسم؟,1
ما تعريف المشروع ؟,ما هو المشروع ؟,1
كيف احضر بسكويت بالمارشميلو؟,من طرق تحضير بسكويت بالمارشميلو؟,1
ما هي الادوية لعلاج الروماتيزم؟,ما هي ادوية الروماتيزم؟,1
ماذا نعني بالسرد المتسلسل؟,ما الهدف من فن السرد؟,0
من طرق تحضير  نرجسكو الدّجاج؟,من طرق تحضير الدجاج؟,0
من طرق تحضير حلاوة الجبن الحموية؟,من طرق تحضير الحلاوة الحموية؟,0
ما هي فوائد استخدام الفيس بوك؟,ما عدد مستخدمي الفيس بوك؟,0
ما هي الادارة العليا ؟,ما تعريف الادارة  ؟,0
ما هي أكبر مدينة في ليبيا؟,أين تقع ليبيا؟,0
ما هي الهجرة ؟,من اسباب الهجرة ؟,0
ما هي مساحة إسبانيا؟,كم تصل المساحة الجغرافية لإسبانيا؟,1
ما هي أهم مكونات زبدة الشيا؟,ما هي زبدة الشيا؟,0
من طرق تحضير عصير الشمندر؟,من طرق تحضير سلطة الشمندر؟,0
ما طريقة تحضير تشيز كيك بالليمون  ؟,من طرق تحضير تشيز كيك  ؟,0
كيف احضر ضلع الخروف المحشي ؟,من طرق تحضير الخروف ؟,0
ما هو البرج المعروف عالمياً بأنه أطول المباني الخضراء عالمياً؟,ما ارتفاع برج تابي؟,0
ما طريقة تحضير الجلو بالحليب المكثّف؟,من طرق تحضير الجلو بالحليب المكثّف؟,1
في أي سنة وقعت غزوة العشيرة؟,في أي سنة وقعت غزوة الأحزاب؟,0
من طرق تحضير كيكة جلي البرتقال بالكاسترد ؟,من طرق تحضير كيكة  الكاسترد ؟,0
هل هناك طريقة لحساب هامش الربح ؟,كيفيّة حساب نسبة الرّبح؟,0
متى أعلنت القوات الفرنسية حمايتها للمغرب؟,ما هي حدود المغرب الشمالية؟,0
كم تصل الكثافة السكانية في كرواتيا؟,كم تصل كثافة بلغاريا السكانية؟,0
ما هو الصيام لغة؟,ما هو الجهاد لغة؟,0
ما طريقة تحضير يخنة الباميا على الطريقة الإيرانيّة؟,من طرق تحضير الباميا؟,0
في أي سنة أصبحت الشبكة العنكبوتية متاحة للاستخدام المجاني؟,ما المقصود بالشبكة العنكبويتية؟,0
من أول من اخترع آلة التصوير؟,ما هي المراحل التي مرت بها آلة التصوير؟,0
كم النسبة التي تشكلها الجبال من تضاريس نيوزلندا؟,ما هي النسبة المئوية التي تشكلها الجبال من تضاريس نيوزلندا؟,1
كم سائح يزور جزيرة فيجي سنوياً؟,كم العدد السنوي للسياح لجزيرة فيجي؟,1
كيف احضر كيك الفانيلا مع صلصة الرّمان ؟,من طرق تحضير كيك  الفانيلا مع صلصة الرّمان ؟,1
ما هي أغراض الشعر؟,ما هي أجمل قصيدة شعر؟,0
ما طريقة تحضير  كيك الرمل ؟,من طرق تحضير  كيك الرمل؟,1
هل تفيد زبدة الشيا البشرة؟,من أين أحصل  على زبدة الشيا؟,0
ماذا نقصد بالاسماء التجارية؟,ما هي مواصفات الأسماء التجاريّة؟,0
ما طريقة تحضير خلطة المحشي المصري ؟,كيف احضر خلطة المحشي المصري؟,1
من مميزات النقود ؟,من انواع النقود ؟,0
ما الأهمية التي تقدمها صور السيلفي؟,من اخترع صور السيلفي؟,0
ما طريقة تحضير كرات حلوة الترك؟,كيف احضر كرات حلوة الترك؟,1
ماذا نقصد بالوسائل المقروءة في عملية الاتصال؟,ما هي أنواع وسائل الاتصال الحديثة؟,0
